Review,Category
"Wow, this product broke after one use. Excellent quality",sarcasm
This is the best thing I've ever bought Five stars for sure,not sarcasm
"The customer service was so helpful, they ignored my calls for days.",sarcasm
"I got exactly what I ordered, thanks for the quick delivery",not sarcasm
"The price is unbeatable, just kidding, it's way too expensive.",sarcasm
"Fast shipping and great quality, I'm impressed",not sarcasm
"This is exactly what I needed, works perfectly",not sarcasm
"Fantastic service, if you enjoy being on hold forever.",sarcasm
"Excellent value for the price, highly recommend.",not sarcasm
Great job on delivering a product that doesn't work.,sarcasm
"Highly durable and well-made, really pleased with this purchase.",not sarcasm
"The software update made my phone slower, amazing improvement.",sarcasm
Customer support resolved my issue quickly and professionally.,not sarcasm
"The food was delicious and delivered on time, great service",not sarcasm
"The food arrived cold and soggy, what a delightful surprise.",sarcasm
"Best price I could find for this quality, very satisfied.",not sarcasm
"The app crashes every time I open it, such a fantastic user experience.",sarcasm
"Prompt delivery and excellent condition, very happy with my order.",not sarcasm
"The product description was completely accurate, no surprises.",not sarcasm
"The product was a total rip-off, exactly what I expected for the price.",sarcasm
This revolutionary phone case is designed to break on impact. So innovative,sarcasm
"Impressive attention to detail, each stitch perfectly aligned.",not sarcasm
"Just what I needed, a hairdryer that makes my hair frizzier.",sarcasm
The laptop boots up in seconds and runs smoothly.,not sarcasm
Who knew a clock could be so good at not keeping time?,sarcasm
"Flawless performance, handles multiple tasks with ease.",not sarcasm
"Exciting news, the printer jams every single time I try to use it.",sarcasm
The colors on this TV are vibrant and the picture is crystal clear.,not sarcasm
"This face cream made my skin break out, exactly what I was hoping for.",sarcasm
"The vacuum cleaner is lightweight and powerful, very satisfied.",not sarcasm
"Fantastic, the handle of this mug heats up more than the coffee.",sarcasm
"The speaker delivers rich and deep bass, excellent sound quality.",not sarcasm
"Great, this watch can't keep time to save its life.",sarcasm
"The bicycle is sturdy and rides smoothly, great for commuting.",not sarcasm
"Amazing, this flashlight is dimmer than a candle.",sarcasm
"The recipe book is full of easy and delicious meals, love it",not sarcasm
"Brilliant, this chair is more uncomfortable than sitting on the floor.",sarcasm
The jacket is waterproof and keeps me warm in the coldest weather.,not sarcasm
"Wonderful, the pages of this book are glued together.",sarcasm
The external hard drive has a lot of storage and is very reliable.,not sarcasm
"Awesome, these noise-canceling headphones actually amplify outside sounds.",sarcasm
The sunscreen is non-greasy and provides great protection.,not sarcasm
"Perfect, this pillow feels like it's stuffed with rocks.",sarcasm
The coffee maker brews quickly and the coffee tastes great.,not sarcasm
"Fantastic, this umbrella leaks like a sieve.",sarcasm
The electric toothbrush leaves my teeth feeling very clean.,not sarcasm
"Lovely, the phone case makes it impossible to use the buttons.",sarcasm
The office chair provides great support and is very comfortable.,not sarcasm
"Great, the laptop's battery life lasts a whole ten minutes.",sarcasm
The air purifier works quietly and effectively.,not sarcasm
"Wonderful, this blender struggles with anything harder than water.",sarcasm
The wireless charger is fast and works with all my devices.,not sarcasm
