sr_no,review,category
1,Tasty Oreo biscuit and benefits other brands biscuit,quality
2,"I love this buiscuit, I usually have it with tea and coffee, nice tea time product everyone should try this",quality
3,Very good,overall
4,Good,overall
5,Nice product,quality
6,delicious,quality
7,Good quality,quality
8,Biscuits are fresh,quality
9,Damaged product delivered to me. There was a large cut on the product packet . ,service
10,Very good delivery and good product,service
11,"Whole packet of maggi is crushed from inside, very bad experience",service
12,Bad product,quality
13,Deliverd broken item,service
14,Very super product,quality
15,Awesome,quality
16,Maggi inside the packet was crumpled and not intact.,service
17,Great taste,quality
18,Very good product at good price,price
19,Wow amazing rates are present,price
20,Very good taste.Very spicy,quality
21,Got this at a good deal.,price
22,We found fungus and bad smell when opened,quality
23,No quality,quality
24,Very good product and great service,service
25,Very nice and give me rate low,price
26,"Good service, and quality, amazing discounts",quality
27,Nice and quick service,service
28,Nice good experience,quality
29,Best taste quality compare to others,quality
30,It is very cheap price and good product,price
31,Very bad taste,quality
32,This product rate very high,price
33,This size is value for money,price
34,Valuable,price
35,Good experience from so many years,service
36,"Wholesome, affordable toothpaste. Great for teeth protection from cavity and strong teeth.",quality
37,I like this because as a Indian Make in India.,quality
38,Poor,quality
39,Nice price,price
40,Smell is too good,quality
41,Best price good quality,price
42,I am so happy to buy this product it is sturdy and beautiful must buy amazing box it is air tight.thank u jio mart,quality
43,Must buy product.. Good quality and reasonable.. press lock technique is good with colorfull lids....,quality
44,"Good material, leak proof lid, can be used as lunch box as well as storage box at this price range thank you jio",quality
45,Good product at this price.happy to receive bowl storage set.i strongly recommends for purchase this.,quality
46,Very good product at this price. Good quality too at this price.,price
47,Good product at reasonable price,price
48,These bottles are very worst. It's waste of money. Rusting in few days.,quality
49,Damage product received,service
50,quality product and premium look,quality
51,Money waste,price
52,No value for money,price
53,"Phone is good but I'm facing battery drainage, it's get heat too much & start loosing 5G connectivity, you can't a play heavy games like BGMI & CODM because of heating issue. So, it's not for gaming & even while doing normal task like using apps it shutter & lags a lot.",quality
